text_idx,readability_score,gold_score
0,5.566073735008994,3.805
1,2.9220275351753697,2.5
2,2.4395196859834423,2.703076923076923
3,5.372842074378112,4.963888888888889
4,4.566811044776119,4.96
5,3.119871761215394,2.732857142857143
6,5.629588481524754,4.572777777777778
7,3.759825984586996,2.87
8,2.7653492916857942,2.7464285714285714
9,3.5638359593672724,2.973076923076923
10,2.5333608866995085,2.865
11,2.4069906948044744,2.2225
12,6.196769254955775,5.4350000000000005
13,2.4572815438352484,2.25375
14,3.209125756423994,2.76
15,3.665004383833046,3.295
16,4.312499761730323,4.465
17,2.7753721697205775,2.21125
18,5.036315052258433,4.645
19,4.322462857142858,3.693333333333333
20,4.843487447565829,4.470000000000001
21,5.1686226384616685,4.085
22,2.986325798458868,2.5
23,5.506562257053352,5.385
24,4.632704134012579,4.345000000000001
25,4.536189873540829,4.29
26,4.317072006819596,4.325
27,2.8302648586855654,2.51
28,3.5451681924195073,2.361666666666667
29,2.1822640166514775,2.145
30,3.2106358092788687,2.405
31,4.020008809398067,3.7981818181818174
32,2.4303392307692304,2.8780769230769234
33,3.2646118490412923,2.932857142857143
34,2.378862987060178,2.19
35,4.304864519708624,4.58
36,3.92769504791499,3.795
37,3.355076329186332,2.96
38,4.388027059910321,3.98
39,3.089604796613181,2.64
40,5.642545987658914,5.4
41,4.812408309066688,4.365
42,4.247588683855062,4.135
43,2.727042222222223,2.385
44,5.311484957264957,5.130000000000001
45,4.028831818323392,4.29
46,5.1599758426345455,4.79
47,4.7441768376554965,4.818333333333333
48,2.694122779562297,2.555
49,4.805413730165372,4.733333333333333
50,5.177316296296295,4.970000000000001
51,3.194539821773124,2.7216666666666667
52,5.835322777604217,5.395
53,3.0694309830249837,2.5516666666666667
54,3.507949907877309,2.716428571428572
55,6.129214532759095,5.376111111111111
56,2.333699555693312,2.341428571428572
57,4.172632269938651,4.26
58,4.341519685618268,4.445
59,4.723635648007159,4.808888888888889
60,5.026056114554068,4.788333333333334
61,3.12379130506521,2.3794444444444443
62,5.170879698060218,4.65
63,5.520514736842105,4.99
64,2.8696356633967413,2.685714285714286
65,5.481608869645008,5.124444444444444
66,3.7596264970170425,3.59
67,2.49515381712627,2.913076923076923
68,5.472450450169963,5.25
69,3.035772161079359,2.5357142857142856
70,2.716470253161703,2.541428571428572
71,3.796604553851194,2.685
72,5.0106730140171845,4.55
73,6.271072556444032,5.38875
74,3.399381005396303,2.866428571428571
75,5.401171591904917,5.145
76,4.247203019428117,4.154999999999999
77,5.533740379116109,4.92
78,5.554350659809797,5.100555555555555
79,2.7849770141570156,2.938076923076923
80,5.3360099582683995,4.35
81,2.9405432624417394,2.3883333333333336
82,3.233804797412476,2.9465384615384616
83,2.8069961245762527,2.5357142857142856
84,4.436957514946844,4.347777777777777
85,5.768830175867734,4.87
86,3.2756530244512136,2.96
87,6.728035921622444,4.225
